logid,sessionnumber,stageid,stagename,stagetype,processname,pagename,objectname,actionname,result,resulttype,startdatetime,enddatetime,attributexml,automateworkingset,targetappname,targetappworkingset,starttimezoneoffset,endtimezoneoffset,attributesize
285703656,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:26.500000000,,,0,,0,3600,,0
285703657,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(6) Mobile Number,64,2022-04-13 14:01:26.540000000,,,0,,0,3600,,0
285703658,42056,{C09E5ABA-1F10-4E3E-A2E1-5C2C76A86F8A},Which Combo?,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,30. Check Home & Mobile,,,(2) Home Empty,64,2022-04-13 14:01:26.567000000,,,0,,0,3600,,0
285703659,42056,{93886BA9-E014-474F-97DA-FA02BF8B20C3},Valid Field?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,31. Check Numbers,,,True,8,2022-04-13 14:01:26.593000000,,,0,,0,3600,,0
285703660,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:26.660000000,,,0,,0,3600,,0
285703661,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:26.707000000,,,0,,0,3600,,0
285703662,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(8) Email,64,2022-04-13 14:01:26.723000000,,,0,,0,3600,,0
285703663,42056,{424EE0C3-48B5-4E39-8A62-8717B7BF803C},Valid Field?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,21. Check is Email,,,True,8,2022-04-13 14:01:26.750000000,,,0,,0,3600,,0
285703664,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:26.803000000,,,0,,0,3600,,0
285703665,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:26.847000000,,,0,,0,3600,,0
285703666,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(21) Otherwise,64,2022-04-13 14:01:26.870000000,,,0,,0,3600,,0
285703667,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:26.903000000,,,0,,0,3600,,0
285703668,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:26.950000000,,,0,,0,3600,,0
285703669,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(21) Otherwise,64,2022-04-13 14:01:26.970000000,,,0,,0,3600,,0
285703670,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:27.003000000,,,0,,0,3600,,0
285703671,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:27.050000000,,,0,,0,3600,,0
285703672,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(1) Filled,64,2022-04-13 14:01:27.073000000,,,0,,0,3600,,0
285703673,42056,{A2DE6543-D2A8-4B73-867B-1347914E1641},Field Empty,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,28. Check is Filled,,,False,8,2022-04-13 14:01:27.097000000,,,0,,0,3600,,0
285703674,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:27.163000000,,,0,,0,3600,,0
285703675,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:27.207000000,,,0,,0,3600,,0
285703676,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(1) Filled,64,2022-04-13 14:01:27.230000000,,,0,,0,3600,,0
285703677,42056,{A2DE6543-D2A8-4B73-867B-1347914E1641},Field Empty,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,28. Check is Filled,,,False,8,2022-04-13 14:01:27.257000000,,,0,,0,3600,,0
285703678,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:27.310000000,,,0,,0,3600,,0
285703679,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:27.353000000,,,0,,0,3600,,0
285703680,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(1) Filled,64,2022-04-13 14:01:27.373000000,,,0,,0,3600,,0
285703681,42056,{A2DE6543-D2A8-4B73-867B-1347914E1641},Field Empty,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,28. Check is Filled,,,False,8,2022-04-13 14:01:27.410000000,,,0,,0,3600,,0
285703682,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:27.460000000,,,0,,0,3600,,0
285703683,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:27.503000000,,,0,,0,3600,,0
285703684,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(3) Optional Date,64,2022-04-13 14:01:27.527000000,,,0,,0,3600,,0
285703685,42056,{DA455529-E6B9-48CB-948C-EFC362734CCB},Make date,8,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,ERROR: Internal : Failed to evaluate expression 'FormatDate([Cell Value], "dd/MM/yyyy")' - FormatDate function requires 2 arguments of types: (date,text),64,2022-04-13 14:01:27.553000000,,,0,,0,3600,,0
285703686,42056,{70814863-4C87-4991-99FD-0522DDC020F6},Recover,67108864,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,,64,2022-04-13 14:01:27.573000000,,,0,,0,3600,,0
285703687,42056,{9451005A-BA37-4BCA-888D-8EC3B9ABB3D3},Resume,134217728,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,,64,2022-04-13 14:01:27.593000000,,,0,,0,3600,,0
285703688,42056,{97B24B7C-1E94-4287-B9F1-2080822F2B0D},Non Mandatory?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,True,8,2022-04-13 14:01:27.637000000,,,0,,0,3600,,0
285703689,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:27.717000000,,,0,,0,3600,,0
285703690,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:27.760000000,,,0,,0,3600,,0
285703691,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(21) Otherwise,64,2022-04-13 14:01:27.783000000,,,0,,0,3600,,0
285703692,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:27.813000000,,,0,,0,3600,,0
285703693,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:27.860000000,,,0,,0,3600,,0
285703694,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(1) Filled,64,2022-04-13 14:01:27.890000000,,,0,,0,3600,,0
285703695,41917,{ED6184B5-631C-433F-87DD-9F648C216391},End,2048,3.11 - TRAC Internal Executor,[Management] Exceptions,,,,,2022-04-13 14:01:27.923000000,,,0,,0,3600,,0
285703696,42056,{A2DE6543-D2A8-4B73-867B-1347914E1641},Field Empty,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,28. Check is Filled,,,False,8,2022-04-13 14:01:27.920000000,,,0,,0,3600,,0
285703697,41917,{83AFCD5E-74DE-4FB7-B1D8-9726F95AFA8C},Reset Globals,128,3.11 - TRAC Internal Executor,Process Data,,,,,2022-04-13 14:01:27.953000000,2022-04-13 14:01:28.017000000,,0,,0,3600,3600,0
285703698,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:27.967000000,,,0,,0,3600,,0
285703699,41917,{B9D5CE58-DCB0-4BE0-A4F4-60C08C190F87},Start,1024,3.11 - TRAC Internal Executor,[Management] Globals,,,,,2022-04-13 14:01:27.977000000,,,0,,0,3600,,0
285703700,41917,{D39F2A2C-DB48-43B3-A9E1-EBB3BDF4A16B},End,2048,3.11 - TRAC Internal Executor,[Management] Globals,,,,,2022-04-13 14:01:27.997000000,,,0,,0,3600,,0
285703701,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:28.013000000,,,0,,0,3600,,0
285703702,41917,{303DFB6B-A142-4F70-9CB9-605B748A71E4},Stop Checks,128,3.11 - TRAC Internal Executor,Process Data,,,,,2022-04-13 14:01:28.027000000,2022-04-13 14:01:28.107000000,,0,,0,3600,3600,0
285703703,41917,{DC9A69D2-F8D1-4A09-B1F8-B29BC8286B0E},Start,1024,3.11 - TRAC Internal Executor,[Management] Stop Checks,,,,,2022-04-13 14:01:28.043000000,,,0,,0,3600,,0
285703704,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(20) Optional,64,2022-04-13 14:01:28.030000000,,,0,,0,3600,,0
285703705,41917,{08A75BB6-F89F-4108-A735-00702075B1DE},Stop Request,4,3.11 - TRAC Internal Executor,[Management] Stop Checks,,,False,8,2022-04-13 14:01:28.060000000,,,0,,0,3600,,0
285703706,41917,{CE58CDA7-4F5C-4BD8-BE7D-18AA2D55E1A5},End3,2048,3.11 - TRAC Internal Executor,[Management] Stop Checks,,,,,2022-04-13 14:01:28.090000000,,,0,,0,3600,,0
285703707,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:28.087000000,,,0,,0,3600,,0
285703708,41917,{F52AAC1E-32CC-4A6C-ACE2-7D676B1E87F3},Get Item,128,3.11 - TRAC Internal Executor,Process Data,,,,,2022-04-13 14:01:28.117000000,2022-04-13 14:01:28.227000000,<parameters><inputs><input name="Operation ID" type="number" value="1" /></inputs><outputs /></parameters>,0,,0,3600,3600,106
285703709,41917,{8C054E5D-8DF4-458C-ADE1-D4AE5ECA4286},Start,1024,3.11 - TRAC Internal Executor,[Management] Work Queues,,,,,2022-04-13 14:01:28.130000000,,<parameters><inputs><input name="Operation ID" type="number" value="1" /></inputs><outputs /></parameters>,0,,0,3600,,106
285703710,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:28.130000000,,,0,,0,3600,,0
285703711,41917,{B9A45184-122B-4964-95EF-552763366685},Operation,1048576,3.11 - TRAC Internal Executor,[Management] Work Queues,,,(1) Get Next Item,64,2022-04-13 14:01:28.147000000,,,0,,0,3600,,0
285703712,41917,{58B2EC4D-660C-4545-9A5C-DB3AABA458B4},Get Next Item,2,3.11 - TRAC Internal Executor,[Management] Work Queues,Blueprism.Automate.clsWorkQueuesActions,Get Next Item,,,2022-04-13 14:01:28.163000000,2022-04-13 14:01:28.190000000,<parameters><inputs><input name="Queue Name" type="text" value="3.11 TRAC Internal" /></inputs><outputs><output name="Item ID" type="text" value="bba3fff0-2412-4993-8bb4-460060e80fbf" /><output name="Data" type="collection"><row><field name="Application ID" type="text" value="134592648" /><field name="Internal / External" type="text" value="Internal" /><field name="Conditional offer made on" type="text" value="" /><field name="Notes" type="text" value="[08-Mar-2022 09:17 jack.rae@trac.systems] Moved to shortlisting [08-Mar-2022 09:17 jack.rae@trac.systems] Moved from Longlisting:Received on vacancy 3962425 to Shortlisting:Shortlist on vacancy 3751451" /><field name="Date/time moved to Offer" type="text" value="2022-04-11 13:44:22" /><field name="Email address" type="text" value="ash.p@live.co.uk" /><field name="First names" type="text" value="Ashvin" /><field name="NI number" type="text" value="JJ562657B" /><field name="Country" type="text" value="United Kingdom" /><field name="DOB" type="text" value="1988-11-13" /><field name="Mobile telephone" type="text" value="07498597695" /><field name="Offered working pattern (hours)" type="text" value="" /><field name="Offered hours / sessions per week: Number" type="text" value="" /><field name="Offered hours / sessions per week: Units" type="text" value="" /><field name="Offered other salary related information" type="text" value="" /><field name="Immigration status" type="text" value="British citizen with right to work in the UK" /><field name="Team" type="text" value="RFL - WC&amp;I (non medical)" /><field name="Job ref" type="text" value="391-10572-WC&amp;I" /><field name="Job title" type="text" value="Band 3 Admin &amp; Clerical Officer - Obstetrics and Gynaecology" /><field name="Cost code" type="text" value="32004: RF:Gynaecology - Admin" /><field name="OH requirement" type="text" value="No special occupational health requirements" /><field name="DBS check required" type="text" value="Enhanced DBS check + Children's &amp; Adults' Barred Lists" /><field name="Staff group" type="text" value="Administrative and Clerical" /><field name="OU3 Name" type="text" value="RF:Gynaecology - Admin" /><field name="OU1 Name" type="text" value="Bh:Women &amp; Children Div" /><field name="Family name" type="text" value="Persand" /><field name="Line manager" type="text" value="" /><field name="F28" type="text" value="" /></row></output><output name="Status" type="text" value="System Exception" /><output name="Attempts" type="number" value="1" /></outputs></parameters>,0,,0,3600,3600,2542
285703713,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(3) Optional Date,64,2022-04-13 14:01:28.153000000,,,0,,0,3600,,0
285703714,42056,{DA455529-E6B9-48CB-948C-EFC362734CCB},Make date,8,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,ERROR: Internal : Failed to evaluate expression 'FormatDate([Cell Value], "dd/MM/yyyy")' - FormatDate function requires 2 arguments of types: (date,text),64,2022-04-13 14:01:28.187000000,,,0,,0,3600,,0
285703715,41917,{0BED84A1-6821-4FF7-BF65-E286A7995D4F},End,2048,3.11 - TRAC Internal Executor,[Management] Work Queues,,,,,2022-04-13 14:01:28.207000000,,,0,,0,3600,,0
285703716,42056,{70814863-4C87-4991-99FD-0522DDC020F6},Recover,67108864,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,,64,2022-04-13 14:01:28.203000000,,,0,,0,3600,,0
285703717,42056,{9451005A-BA37-4BCA-888D-8EC3B9ABB3D3},Resume,134217728,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,,64,2022-04-13 14:01:28.217000000,,,0,,0,3600,,0
285703718,41917,{F82421C8-8C15-4D03-A082-1325FB5216E1},Got Item?,4,3.11 - TRAC Internal Executor,Process Data,,,True,8,2022-04-13 14:01:28.237000000,,,0,,0,3600,,0
285703719,42056,{97B24B7C-1E94-4287-B9F1-2080822F2B0D},Non Mandatory?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,True,8,2022-04-13 14:01:28.237000000,,,0,,0,3600,,0
285703720,41917,{1D5CD12B-BEA6-46E6-91FB-188AAEF20324},1.0 - Filter In-Scope Records,128,3.11 - TRAC Internal Executor,Process Data,,,,,2022-04-13 14:01:28.257000000,2022-04-13 14:01:28.463000000,<parameters><inputs /><outputs><output name="Internal Applicant" type="flag" value="False" /><output name="Exception Checks Complete" type="flag" value="True" /></outputs></parameters>,0,,0,3600,3600,184
285703721,41917,{787874E4-8CE9-4CC0-8C42-0B66E9A4F223},Start,1024,3.11 - TRAC Internal Executor,1.0 Check for possible Exceptions,,,,,2022-04-13 14:01:28.270000000,,,0,,0,3600,,0
285703722,42056,{5C2DDEA5-6E8E-4ACB-B44B-5C4A53E76EB5},Finished?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,False,8,2022-04-13 14:01:28.280000000,,,0,,0,3600,,0
285703723,41917,{E0B5A2A4-26C7-4F49-96A2-35B269173BB7},OU1 Name?,4,3.11 - TRAC Internal Executor,1.0 Check for possible Exceptions,,,False,8,2022-04-13 14:01:28.290000000,,,0,,0,3600,,0
285703724,41917,{4306A528-F1BD-4646-803F-602FFF7807DC},Team?,4,3.11 - TRAC Internal Executor,1.0 Check for possible Exceptions,,,False,8,2022-04-13 14:01:28.303000000,,,0,,0,3600,,0
285703725,41917,{84FBD56C-31BD-4826-9A16-C3217D828B9A},Job ref?,4,3.11 - TRAC Internal Executor,1.0 Check for possible Exceptions,,,False,8,2022-04-13 14:01:28.320000000,,,0,,0,3600,,0
285703726,42056,{3D1F9FE5-9205-4A5F-82CF-432AEE366186},NA?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,18. Remove NAs,,,False,8,2022-04-13 14:01:28.323000000,,,0,,0,3600,,0
285703727,41917,{1656F252-BAF0-4E82-9B54-1D4D088E0664},Notes?,4,3.11 - TRAC Internal Executor,1.0 Check for possible Exceptions,,,False,8,2022-04-13 14:01:28.340000000,,,0,,0,3600,,0
285703728,42056,{52D4CBE5-E6F6-4C2B-B569-E4E94135A9D8},Type of Validation Needed,1048576,391_R4.2-4.4_NewStarterJoiningForm_v0.5,27. Check 1. Starter Appointment,,,(3) Optional Date,64,2022-04-13 14:01:28.350000000,,,0,,0,3600,,0
285703729,42056,{DA455529-E6B9-48CB-948C-EFC362734CCB},Make date,8,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,ERROR: Internal : Failed to evaluate expression 'FormatDate([Cell Value], "dd/MM/yyyy")' - FormatDate function requires 2 arguments of types: (date,text),64,2022-04-13 14:01:28.377000000,,,0,,0,3600,,0
285703730,42056,{70814863-4C87-4991-99FD-0522DDC020F6},Recover,67108864,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,,64,2022-04-13 14:01:28.393000000,,,0,,0,3600,,0
285703731,42056,{9451005A-BA37-4BCA-888D-8EC3B9ABB3D3},Resume,134217728,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,,64,2022-04-13 14:01:28.410000000,,,0,,0,3600,,0
285703732,41917,{FFD7E307-D288-4634-840E-F31262538492},Exception Checks Complete,8,3.11 - TRAC Internal Executor,1.0 Check for possible Exceptions,,,True,8,2022-04-13 14:01:28.427000000,,,0,,0,3600,,0
285703733,42056,{97B24B7C-1E94-4287-B9F1-2080822F2B0D},Non Mandatory?,4,391_R4.2-4.4_NewStarterJoiningForm_v0.5,19. Check is Date,,,True,8,2022-04-13 14:01:28.423000000,,,0,,0,3600,,0
